episode_number,pitch_number,brand_name,idea,deal,pitcher_ask_amount,ask_equity,ask_valuation,deal_amount,deal_equity,deal_valuation,ashneer_present,anupam_present,aman_present,namita_present,vineeta_present,peyush_present,ghazal_present,ashneer_deal,anupam_deal,aman_deal,namita_deal,vineeta_deal,peyush_deal,ghazal_deal,total_sharks_invested,amount_per_shark,equity_per_shark
1,1,BluePine Industries,Frozen Momos,1,50.0,5.0,1000.0,75.0,16.0,468.75,1,1,1,1,1,0,0,1,0,1,0,1,0,0,3,25.0,5.333333333
1,2,Booz scooters,Renting e-bike for mobility in private spaces,1,40.0,15.0,266.67,40.0,50.0,80.0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,2,20.0,25.0
1,3,Heart up my Sleeves,Detachable Sleeves,1,25.0,10.0,250.0,25.0,30.0,83.33,1,1,1,1,1,0,0,0,1,0,0,1,0,0,2,12.5,15.0
2,4,Tagz Foods,Healthy Potato Chips,1,70.0,1.0,7000.0,70.0,2.75,2545.45,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,70.0,2.75
2,5,Head and Heart,Brain Development Course,0,50.0,5.0,1000.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,6,Agro tourism,Tourism,0,50.0,5.0,1000.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3,7,Qzense Labs,Food Freshness Detector,0,100.0,0.25,40000.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
3,8,Peeschute,Disposable Urine Bag,1,75.0,4.0,1875.0,75.0,6.0,1250.0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,75.0,6.0
3,9,NOCD,Energy Drink,1,50.0,2.0,2500.0,20.0,15.0,133.33,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,20.0,15.0
4,10,Cosiq,Intelligent Skincare,1,50.0,7.5,666.67,50.0,25.0,200.0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,2,25.0,12.5
4,11,JhaJi Achaar,Pickle,0,50.0,10.0,500.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4,12,Bummer,Underwear,1,75.0,4.0,1875.0,75.0,7.5,1000.0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,2,37.5,3.75
5,13,Revamp Moto,E-Bike,1,100.0,1.0,10000.0,100.0,1.5,6666.67,1,1,1,1,1,0,0,0,1,1,0,0,0,0,2,50.0,0.75
5,14,Hungry Heads,Restaurant serving 80 types of Maggi,0,50.0,5.0,1000.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5,15,Shrawani Engineers,Belly Button Shaper,0,10.0,20.0,50.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6,16,Skippi Pops,Ice-Pops,1,45.0,5.0,900.0,100.0,15.0,666.67,1,1,1,1,1,0,0,1,1,1,1,1,0,0,5,20.0,3.0
6,17,Menstrupedia,Menstrual Awareness Comic,1,50.0,10.0,500.0,50.0,20.0,250.0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,50.0,20.0
6,18,Hecolll,Pollution Resistant Fabric,0,100.0,1.0,10000.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7,19,Raising Superstars,Child Development App,0,100.0,2.0,5000.0,100.0,4.0,2500.0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,2,50.0,2.0
7,20,Torch-it,Gadgets for visually impaired people,1,75.0,1.0,7500.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
